blue,green,red,ndwi,brightness,label,source_file
0.7933012,0.78625405,0.8175047,-0.01948587,0.79902,0,GSL_2025_10.tif
0.8004762,0.79205364,0.8104639,-0.011488332,0.8009979,0,GSL_2025_10.tif
0.7984561,0.78658545,0.80776924,-0.0132867405,0.7976036,0,GSL_2025_10.tif
0.7905845,0.7764776,0.7824745,-0.0038467755,0.78317887,0,GSL_2025_10.tif
0.18675406,0.12491885,0.14255987,-0.06595275,0.15141092,0,GSL_2018_12.tif
0.20018186,0.13416876,0.14713128,-0.046080597,0.16049397,0,GSL_2018_12.tif
0.18962067,0.12365249,0.14093098,-0.06530426,0.15140139,0,GSL_2018_12.tif
0.17745017,0.11913765,0.13714774,-0.07027328,0.14457852,0,GSL_2018_12.tif
0.18881601,0.11396211,0.1478669,-0.12949163,0.15021501,0,GSL_2018_12.tif
0.17634375,0.115256,0.13168308,-0.06652255,0.14109428,0,GSL_2018_12.tif
0.17815425,0.114787996,0.13073727,-0.06495956,0.14122652,0,GSL_2018_12.tif
0.18192609,0.112640694,0.12464206,-0.050578117,0.13973628,0,GSL_2018_12.tif
0.18197638,0.10741009,0.13415268,-0.11070614,0.14117973,0,GSL_2018_12.tif
0.14239708,0.08913051,0.113082185,-0.11844733,0.11486992,0,GSL_2018_12.tif
0.19666146,0.13628852,0.15275358,-0.056964,0.16190119,0,GSL_2018_12.tif
0.1538635,0.1016289,0.13152544,-0.12822585,0.12900595,0,GSL_2018_12.tif
0.13912813,0.08478085,0.10719716,-0.116764374,0.11036871,0,GSL_2018_12.tif
0.13817261,0.08555168,0.108064145,-0.11627329,0.11059614,0,GSL_2018_12.tif
0.13435046,0.07910978,0.1105863,-0.16593045,0.108015515,0,GSL_2018_12.tif
0.17309996,0.106639266,0.13378488,-0.1129067,0.13784136,0,GSL_2018_12.tif
0.11423391,0.07286058,0.09921033,-0.15313217,0.09543494,0,GSL_2018_12.tif
0.11312751,0.06325279,0.093903296,-0.19503102,0.09009453,0,GSL_2018_12.tif
0.09648106,0.056397952,0.08381467,-0.19553536,0.07889789,0,GSL_2018_12.tif
0.09708456,0.056315362,0.09096078,-0.23523961,0.08145356,0,GSL_2018_12.tif
0.12026888,0.06504221,0.08801827,-0.15010998,0.09110979,0,GSL_2018_12.tif
0.064998664,0.032915298,0.070731,-0.36484987,0.05621499,0,GSL_2018_12.tif
0.10223942,0.05160782,0.087414004,-0.25755614,0.08042041,0,GSL_2018_12.tif
0.12338694,0.06952952,0.09584746,-0.15913811,0.09625464,0,GSL_2018_12.tif
0.15864119,0.10250984,0.1108753,-0.03920339,0.124008775,0,GSL_2018_12.tif
0.22506459,0.18720023,0.21839356,-0.07690761,0.21021946,0,GSL_2020_11.tif
0.22506459,0.18720023,0.22299357,-0.08725935,0.21175279,0,GSL_2020_11.tif
0.21397159,0.17238356,0.21515651,-0.1103701,0.20050389,0,GSL_2020_11.tif
0.19483872,0.16000795,0.19863056,-0.10769198,0.18449241,0,GSL_2020_11.tif
0.2222659,0.18351026,0.22117628,-0.09307433,0.20898414,0,GSL_2020_11.tif
0.21692294,0.17919582,0.21277133,-0.08565876,0.20296335,0,GSL_2020_11.tif
0.22002694,0.17919582,0.22197135,-0.10662742,0.2070647,0,GSL_2020_11.tif
0.24450277,0.1969077,0.23895162,-0.09646192,0.22678737,0,GSL_2020_11.tif
0.2734056,0.22080737,0.25525042,-0.07235041,0.24982114,0,GSL_2020_11.tif
0.2991027,0.23545372,0.26882327,-0.066172905,0.2677932,0,GSL_2020_11.tif
